,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
77,0.5,0.7978845608028654,0.0,1.0,0.0,0.0,138,156.0,174
78,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,143,143.0,143
79,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,164,164.0,164
80,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,172,172.0,172
81,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,139,139.0,139
82,0.5,0.7978845608028654,90.00003218077504,1.0,0.0,0.0,150,173.0,196
83,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,181,181.0,181
84,1.0,1.1283791670955126,0.0,1.4142135623730951,0.8660254037844386,2.310660171779821,145,183.25,231
85,1.5,1.381976597885342,-18.43495541459913,1.9999999999999998,0.816496580927726,3.2071067811865475,140,161.83333333333334,215
86,12.0,3.9088200952233594,16.055808647026282,6.995214490924922,3.165728247507216,16.449747468305834,136,195.77083333333334,249
87,0.5,0.7978845608028654,0.0,1.0,0.0,0.0,168,169.5,171
88,0.5,0.7978845608028654,90.00003218077504,1.0,0.0,0.0,202,210.0,218
89,0.5,0.7978845608028654,-45.00001609038752,1.4142135623730951,0.0,0.0,159,162.0,165
90,1.75,1.4927053303604616,-25.504512098243623,3.0777280826228495,0.8062498552102293,3.207106781186548,166,200.85714285714286,250
91,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,142,142.0,142
92,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,136,136.0,136
93,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,136,136.0,136
94,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,157,157.0,157
95,2.75,1.8712051592547776,-78.82970420667039,2.744936821079694,1.522025465523621,4.707106781186548,139,181.0,232
96,8.75,3.3377905890622728,-4.4343093503066076,5.9380306803240215,2.350205333352468,14.15685424949238,136,194.25714285714287,248
97,4.0,2.256758334191025,-1.2846209694083555,4.1069128401851,1.4923193100415066,7.207106781186548,146,194.4375,231
98,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,157,157.0,157
99,1.75,1.4927053303604616,-17.76884524948727,3.124804667883905,1.1565624081291461,2.5,140,171.57142857142858,208
100,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,138,138.0,138
101,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,149,149.0,149
102,0.25,0.5641895835477563,45.00001609038752,0.0,0.0,0.0,151,151.0,151
