Grain #,,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
13,,92.5,10.8524033231355,52.3618976776119,14.6152591489743,8.42449643068277,43.2842712474619,[62 13 20],[239.58378378 228.52432432 222.60810811],[255 255 255]
14,,43.5,7.44217173921562,32.2438619250301,8.46082069267345,7.00393836757709,27.142135623731,[71  3  4],[235.21264368 222.45977011 215.92528736],[255 255 251]
15,,496,25.1301972572569,42.8476845059346,27.2463543309329,25.0448507829113,100.204581464245,[77 11  6],[245.29889113 234.91280242 220.91582661],[255 255 249]
16,,717.5,30.2249792944094,-79.5635522310663,48.0303551888241,21.7314718751359,136.610173055266,[56 11  8],[247.72996516 235.99825784 225.07351916],[255 255 252]
17,,17.75,4.75394593143939,-50.3131570125827,6.25551392996009,3.71879898950811,16.1923881554251,[107  93  87],[229.73239437 226.11267606 216.49295775],[255 255 247]
18,,128.75,12.8034991851701,-1.34074542061604,24.7538121203324,6.8923087446227,59.5918830920368,[115 105  95],[244.17475728 229.96699029 215.76699029],[255 255 245]
19,,25.5,5.69803548521301,-36.9708742420211,7.14902488919696,4.67303255010925,19.7279220613579,[166 108 104],[243.44117647 227.06862745 219.31372549],[255 255 249]
20,,23.25,5.44084730672462,78.2082185199378,10.9375918588945,4.16783140647363,24.2279220613579,[103 100  95],[237.82795699 232.95698925 223.11827957],[255 255 254]
21,,29,6.0765077797465,79.4393571584548,7.50603511918167,5.22059016213481,22.9350288425444,[144 114 116],[230.43103448 211.15517241 206.46551724],[255 255 249]
22,,24.25,5.55662298161642,-74.5958865753145,6.35993747973034,4.94322313933159,18.1923881554251,[203 208 205],[245.49484536 243.65979381 234.68041237],[255 255 252]
23,,594,27.5009870654252,-26.4324623382151,37.5116281640555,24.011924242998,135.0924061023,[50  3  0],[243.875      230.34132997 219.74410774],[255 255 249]
24,,232.75,17.2147176577808,13.5848744737185,19.1890961579952,15.9891990175967,61.698484809835,[68 13  8],[248.38238453 237.44897959 229.47583244],[255 255 255]
25,,118.75,12.2962268984148,-46.6687460877218,15.3379139478875,10.1645726150892,44.5918830920368,[29  3  0],[240.84631579 232.53263158 223.82105263],[255 255 248]
26,,247,17.7338706307897,-43.4829452318576,22.6167755268468,15.3834345562414,72.0624458405139,[62  0  0],[248.4291498  241.47773279 229.74696356],[255 255 251]
27,,35,6.67558117812455,-64.9861693524596,8.74546023565458,6.34068389098211,26.9705627484771,[35 19 12],[233.38571429 219.18571429 207.72857143],[255 255 248]
28,,77.75,9.94959168022281,4.72897639758216,11.9164171257647,9.37217435794314,37.920310216783,[56 15  8],[242.40836013 237.04180064 226.59485531],[255 255 248]
29,,155.25,14.0595319737228,-60.7078766006306,21.8062055085425,9.68481663298665,59.2695526217005,[60 21 14],[241.40257649 230.39613527 218.04025765],[255 255 248]
30,,328.25,20.4436024359533,4.12816659153063,27.9503244263235,15.3537623217269,76.4264068711929,[61  9  3],[235.38080731 230.96115765 215.38918507],[255 255 248]
31,,151.5,13.8886929200475,14.1751406520339,16.4580778418034,12.5106117034936,55.198484809835,[55 16 12],[243.32838284 239.27062706 230.68481848],[255 255 251]
32,,40.25,7.15876327835963,33.6900795723407,8.52834613404658,6.54843397902428,26.1421356237309,[152 176 163],[234.0931677  237.8136646  225.38509317],[255 255 251]
33,,30,6.18038723237103,13.8520901156215,8.68091921119973,5.04845713326372,26.1599025766973,[134 130 121],[226.18333333 231.55833333 220.175     ],[255 255 249]
34,,13,4.06842894512822,-0.03292278430391,6.58524074469515,3.14609566667549,15.0710678118655,[84  3  6],[194.38461538 198.01923077 189.23076923],[255 248 239]
